region_id,type,label,AO_future,AO_pressures,AO_resilience,AO_score,AO_status,AO_trend,BD_future,BD_pressures,BD_resilience,BD_score,BD_status,BD_trend,CP_future,CP_pressures,CP_resilience,CP_score,CP_status,CP_trend,CS_future,CS_pressures,CS_resilience,CS_score,CS_status,CS_trend,CW_future,CW_pressures,CW_resilience,CW_score,CW_status,CW_trend,ECO_future,ECO_pressures,ECO_resilience,ECO_score,ECO_status,ECO_trend,FIS_future,FIS_pressures,FIS_resilience,FIS_score,FIS_status,FIS_trend,FP_future,FP_pressures,FP_resilience,FP_score,FP_status,FP_trend,HAB_future,HAB_pressures,HAB_resilience,HAB_score,HAB_status,HAB_trend,ICO_future,ICO_pressures,ICO_resilience,ICO_score,ICO_status,ICO_trend,Index_future,Index_score,LE_future,LE_pressures,LE_resilience,LE_score,LE_status,LE_trend,LIV_future,LIV_pressures,LIV_resilience,LIV_score,LIV_status,LIV_trend,LSP_future,LSP_pressures,LSP_resilience,LSP_score,LSP_status,LSP_trend,MAR_future,MAR_pressures,MAR_resilience,MAR_score,MAR_status,MAR_trend,NP_future,NP_pressures,NP_resilience,NP_score,NP_status,NP_trend,SP_future,SP_pressures,SP_resilience,SP_score,SP_status,SP_trend,SPP_future,SPP_pressures,SPP_resilience,SPP_score,SPP_status,SPP_trend,TR_future,TR_pressures,TR_resilience,TR_score,TR_status,TR_trend
0.0,global,GLOBAL,81.22,NA,NA,77.43,73.63,NA,92.08,NA,NA,91.29,90.5,NA,89.29,NA,NA,87.29,85.29,NA,80.13,NA,NA,79.27,78.42,NA,73.55,NA,NA,73.5,73.45,NA,87.95,NA,NA,87.8,87.65,NA,56.62,NA,NA,53.67,50.72,NA,56.38,NA,NA,53.52,50.67,NA,93.13,NA,NA,90.67,88.21,NA,70.9,NA,NA,66.52,62.13,NA,72.46,70.73,82.21,NA,NA,82.34,82.46,NA,76.47,NA,NA,76.88,77.28,NA,60.33,NA,NA,58.37,56.41,NA,32.96,NA,NA,31.92,30.88,NA,49.92,NA,NA,48.15,46.38,NA,65.61,NA,NA,62.44,59.27,NA,90.99,NA,NA,91.88,92.78,NA,50.33,NA,NA,49.17,48.01,NA
1.0,eez,Cocos Islands,100.0,10.6,78.31,96.85,93.7,0.01,100.0,NA,NA,97.5,95.01,-0.07,100.0,21.01,79.37,97.62,95.24,0.07,100.0,18.31,79.37,92.76,85.51,NA,94.08,34.86,91.87,88.59,83.09,-0.08,100.0,15.65,80.33,100.0,100.0,0.05,81.13,12.69,79.31,69.97,58.8,0.24,81.13,NA,NA,69.97,58.8,0.24,100.0,16.03,84.32,97.59,95.17,0.03,82.06,16.75,80.57,74.36,66.67,0.03,88.1,83.43,100.0,NA,NA,96.35,92.69,0.51,100.0,16.48,67.75,92.69,85.39,0.97,0.0,24.44,91.87,0.0,0.0,0.0,NA,11.34,91.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.03,NA,NA,37.18,33.33,0.02,100.0,16.71,77.2,97.42,94.85,-0.18,76.64,27.3,91.87,74.09,71.54,-0.21
2.0,eez,Christmas Island,100.0,11.35,83.69,96.85,93.7,0.01,100.0,NA,NA,96.95,93.9,-0.07,100.0,20.19,85.86,93.12,86.25,0.07,100.0,18.69,85.86,92.76,85.51,NA,86.14,48.22,91.87,81.34,76.54,-0.03,100.0,15.56,80.33,100.0,100.0,0.05,91.01,12.55,79.23,78.95,66.9,0.21,91.01,NA,NA,78.95,66.9,0.21,100.0,17.1,85.9,96.62,93.24,0.03,64.11,19.26,80.5,58.72,53.33,0.0,90.64,85.3,100.0,NA,NA,96.35,92.69,0.51,100.0,16.59,67.75,92.69,85.39,0.97,63.21,25.82,91.87,57.56,51.9,0.0,NA,11.5,91.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.66,NA,NA,58.14,52.62,0.0,100.0,16.64,77.2,97.28,94.56,-0.18,75.0,34.25,91.87,73.27,71.54,-0.21
3.0,eez,Norfolk Island,100.0,12.18,88.89,96.85,93.7,0.01,100.0,NA,NA,98.34,96.68,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.29,49.67,91.87,77.77,75.25,-0.11,100.0,16.99,80.33,100.0,100.0,0.05,28.11,11.87,88.31,28.96,29.8,-0.46,28.11,NA,NA,28.96,29.8,-0.46,100.0,11.14,89.0,100.0,100.0,0.0,96.63,22.54,85.55,88.32,80.0,0.0,82.94,80.73,100.0,NA,NA,96.35,92.69,0.51,100.0,18.58,67.75,92.69,85.39,0.97,100.0,31.21,91.87,100.0,100.0,1.0,NA,13.63,91.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.32,NA,NA,94.16,90.0,0.5,100.0,17.6,86.58,96.68,93.36,-0.17,73.89,38.95,91.87,72.71,71.54,-0.21
4.0,eez,Macquarie Island,100.0,9.56,87.38,96.85,93.7,0.01,100.0,NA,NA,97.62,95.23,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.57,14.14,91.19,97.51,96.44,-0.35,NA,NA,77.93,NA,NA,NA,30.47,9.79,86.88,28.18,25.9,-0.12,30.47,NA,NA,28.18,25.9,-0.12,100.0,9.98,87.58,100.0,100.0,0.0,82.73,10.6,84.13,74.41,66.09,0.01,84.08,81.47,NA,NA,NA,NA,NA,NA,NA,NA,61.96,NA,NA,NA,100.0,11.01,91.19,100.0,100.0,0.0,NA,11.11,90.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.36,NA,NA,87.2,83.05,0.01,100.0,10.92,85.87,95.23,90.47,-0.13,NA,15.55,91.19,NA,NA,NA
5.0,eez,New Caledonia,71.17,17.47,75.58,65.3,59.44,0.01,93.0,NA,NA,90.1,87.2,-0.13,79.08,25.76,66.12,76.11,73.13,-0.08,83.23,23.55,66.4,78.12,73.0,0.0,73.94,40.66,62.98,79.0,84.07,-0.29,99.43,18.5,73.72,92.33,85.22,-0.02,79.99,22.23,77.85,72.55,65.1,0.07,73.76,NA,NA,66.96,60.15,0.06,93.84,22.34,74.65,87.56,81.27,-0.03,73.69,23.09,77.58,67.73,61.76,0.02,85.34,82.11,99.72,NA,NA,96.16,92.61,0.48,100.0,18.83,58.37,100.0,100.0,0.99,100.0,28.73,63.01,88.38,76.76,0.91,18.0,16.97,63.14,16.95,15.91,-0.03,100.0,16.83,78.6,99.98,99.95,0.13,86.85,NA,NA,78.05,69.26,0.47,92.17,24.41,68.77,92.65,93.13,-0.23,92.63,31.92,62.98,91.34,90.04,-0.11
6.0,eez,Vanuatu,49.91,26.84,63.08,47.22,44.53,0.0,92.51,NA,NA,92.32,92.14,-0.12,97.9,33.58,52.61,95.01,92.12,0.0,91.57,31.02,52.61,88.53,85.48,0.0,59.89,61.22,55.1,68.68,77.48,-0.31,100.0,34.04,64.63,100.0,100.0,0.42,70.44,32.78,62.91,64.87,59.3,0.13,70.37,NA,NA,64.81,59.24,0.13,100.0,30.7,66.43,95.66,91.31,0.0,62.99,30.81,65.96,59.99,57.0,-0.02,80.02,77.48,100.0,NA,NA,100.0,100.0,0.7,100.0,39.03,50.99,100.0,100.0,0.97,13.12,35.42,59.65,12.64,12.15,0.0,0.22,22.71,64.48,0.17,0.12,1.0,100.0,27.03,67.03,81.94,63.88,1.0,38.05,NA,NA,36.31,34.57,-0.01,85.01,33.63,55.72,88.99,92.96,-0.24,100.0,46.39,55.1,100.0,100.0,0.0
7.0,eez,Solomon Islands,46.71,37.63,60.01,45.07,43.43,0.0,84.98,NA,NA,84.74,84.5,-0.09,87.81,34.11,61.55,80.15,72.48,0.18,76.33,34.98,58.6,73.62,70.92,0.0,77.57,68.01,74.91,76.96,76.34,-0.01,100.0,36.02,57.71,100.0,100.0,0.03,91.99,42.83,59.32,88.8,85.6,0.03,91.99,NA,NA,88.8,85.6,0.03,87.09,35.05,65.94,81.75,76.4,0.06,65.14,37.66,65.21,62.22,59.29,0.01,72.47,69.39,100.0,NA,NA,100.0,100.0,0.52,100.0,37.52,43.35,100.0,100.0,1.0,9.9,40.76,73.77,9.42,8.93,0.0,0.0,26.5,74.91,0.0,0.0,0.0,100.0,30.73,70.19,84.12,68.24,1.0,37.52,NA,NA,35.82,34.11,0.01,82.86,42.52,59.79,87.73,92.59,-0.24,21.82,51.3,74.91,24.66,27.49,-0.42
8.0,eez,Palau,64.37,39.92,67.01,61.19,58.01,0.03,82.02,NA,NA,86.18,90.34,-0.26,88.51,31.43,64.13,92.43,96.36,-0.28,43.61,32.24,64.0,65.28,86.95,-0.9,68.07,51.72,67.02,74.87,81.67,-0.32,100.0,33.25,63.86,100.0,100.0,0.0,97.62,45.46,63.63,94.71,91.8,0.01,97.61,NA,NA,94.69,91.78,0.01,80.45,33.55,69.68,83.81,87.18,-0.29,65.62,37.83,67.96,62.35,59.09,0.02,64.2,68.55,73.77,NA,NA,82.66,91.54,-0.35,47.54,35.3,47.9,65.31,83.08,-0.7,40.68,41.5,71.0,38.88,37.07,0.0,1.85,23.13,70.15,2.18,2.51,-0.63,3.7,29.84,70.67,5.83,7.96,-1.0,53.15,NA,NA,50.61,48.08,0.01,83.59,46.2,60.12,88.54,93.5,-0.23,67.16,39.22,67.02,71.79,76.42,-0.32
9.0,eez,Micronesia,49.3,29.39,60.19,47.1,44.91,-0.01,91.9,NA,NA,93.19,94.48,0.01,100.0,28.11,49.12,97.61,95.21,0.09,100.0,31.94,49.08,92.81,85.63,0.99,69.16,70.11,54.89,67.58,66.0,0.15,44.41,27.56,64.35,48.6,52.79,-0.42,90.92,33.53,60.58,86.81,82.7,0.02,90.92,NA,NA,86.81,82.7,0.02,100.0,30.65,62.87,97.74,95.48,0.24,60.19,33.92,61.01,57.59,55.0,0.01,70.24,68.92,56.56,NA,NA,62.48,68.4,-0.39,68.72,29.06,48.26,76.37,84.02,-0.37,4.08,38.45,54.89,3.97,3.87,0.0,0.0,22.35,54.89,0.0,0.0,0.0,53.52,25.61,60.18,44.66,35.81,0.57,32.13,NA,NA,30.78,29.43,0.0,83.81,35.14,48.46,88.64,93.47,-0.22,58.92,50.11,54.89,66.15,73.38,-0.32
